,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,2.29420880588218,2.36978613572853,1.95042946436272,1.86129988322751,2.23706948993234,2.32800282221116,2.06075126349116,1.89747279675157,1.77859261784739,1.1447151131951,1.06917092963673,1.28289937488342
Angola,7.69230769230769,17.4721189591078,5.70783618187681,4.70648514126775,2.44789603264181,5.97225116095868,2.64199190761856,17.334692213616,6.39260315427404,4.52435381521459,3.51023470700436,4.72213381713034,4.16241349449723,4.83484185181799,4.71484510684848,3.36223171967052,3.75821463787197,4.3861286511624,4.24488443702506,3.49561936904927,3.59335767350066,4.90544254113145,5.21018812417744
Albania,4.64945888470358,3.19929790202817,2.50038576220844,2.09971303703802,1.5170955042254,1.37870662933931,1.22888199308804,1.24206452648641,1.22789866018586,1.29960736186837,1.31579371180706,1.35922390508176,1.35348135815579,1.31485333142078,1.54375038367739,1.8207653435572,1.98486873031325,2.06593725523106,1.59311738441247,1.52730535496808,1.49085570218527,1.38415775962294,1.00912791965806
Arab World,8.85739854717137,8.07402838242668,7.48052467355694,6.8021104344696,6.16447143279666,6.3288231082743,7.27152134102118,6.28729940145559,6.17702027088779,6.56006265852837,6.00360681201843,5.58192195586908,5.17781519038343,4.73095473075781,4.47269086211057,4.57923883701792,4.19752161423084,5.35803215467149,5.11838998732608,5.08934196282904,5.26872193481117,5.87205551231661,6.84255805368169
United Arab Emirates,,,,,,4.23125030233088,5.29948113445167,5.01280124852479,5.63157166754963,5.61210504675656,4.87552690304984,4.69231072434317,4.61147388489275,3.65647745569231,3.226126784392,3.28052136989454,3.66802298458815,5.45710723540894,6.11946782176773,5.52065988010125,5.10969244282441,5.85600545767111,5.6654462979385
Argentina,1.34046362203184,1.34035236374456,1.45703853325047,1.47307453443229,1.2412284045824,1.14013911131295,1.13631707160019,1.22035954754993,1.14882368723143,1.1842346437015,1.09188047859748,1.06089364594404,0.799696413965788,0.762448625002699,0.697879247367395,0.691981964580775,0.682994134877242,0.783761711581475,0.747778636335571,0.720326045917766,0.748596481666467,0.823482588736399,0.799825148465968
Armenia,2.09548975296484,2.12165247900191,,4.05931217144584,3.28186704396967,3.90940345225657,3.52809625813577,3.69737528464027,3.56002487253697,3.12724921522391,2.69771474886414,2.72837233688367,2.74199670493715,2.87193140750363,2.9476130433149,3.04257463777315,3.39557944678193,4.15705009881747,4.26564622933795,3.85394659997222,3.8218100132926,4.26174813673148,4.28867359350402
American Samoa,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,
Australia,2.21534024420515,2.22989603201232,2.1861307221752,2.08643950505697,1.98125725345803,1.92111465608922,1.92178011805172,1.94163878924671,1.89865372042907,1.9308071319698,1.94116194996098,1.91110717108442,1.89310274787453,1.8795288627411,1.89485033588251,1.88946374886387,1.88506324559453,1.93235850991277,1.95342074372148,1.8314966278727,1.70158088423067,1.69072628578041,1.78121153832795
Austria,1.09964282520054,1.11373904247096,1.09701947699048,1.06366494440733,1.03825340630573,1.01959697243424,0.992196220973282,0.980246123382213,0.980318120265802,0.908241278680138,0.883529007828895,0.91363952775594,0.893480466242935,0.853723558778274,0.789783772018703,0.905658960661513,0.876167744092427,0.83878312328522,0.825946550041654,0.794622175427229,0.781997969188536,0.753887386831646,0.746338544466526
Azerbaijan,2.48957490508496,4.93372888045734,3.68316850709437,2.73690130284,2.25423034135488,2.32404979925782,2.41235591259715,2.62510993144516,2.26786206311863,2.31206260817217,2.24332117101365,2.4263625550969,2.62945031241574,2.29906967458575,3.4177538630434,2.86419491898944,3.29121114577001,3.32542168167072,2.79100435652891,4.67013555547022,4.72321511251042,4.67975088462298,4.76348727826402
Burundi,3.59973410797389,3.86353666939169,4.53061548546146,4.20907298696168,5.85632839224629,6.35939294049008,6.57171389305347,6.25823451910408,4.86185018351773,6.07104094356716,5.44104144918126,5.53277978191025,4.90266182221201,4.43561717974181,3.51225471482019,3.41490000681617,2.7212308336386,,,,2.38501863466906,2.2420092529754,2.00984217640382
Belgium,1.75287847401348,1.66069113533028,1.60441866248252,1.53877827261928,1.51071658925232,1.4498857256973,1.41033757079063,1.38583555922092,1.3444226626036,1.27889269182637,1.21792653834247,1.21662604160762,1.15063497756044,1.09272055278804,1.0489724102539,1.0934045075043,1.21047917851892,1.15698178168331,1.08271564770183,1.04128555071529,1.03639890666742,0.996604611858051,0.972919729271915
Benin,,,,,,,,0.716910476034139,0.614477238047258,0.524655104670442,0.92605458810199,0.971093548641501,1.03139557065747,1.02583417608396,0.994373039696835,,0.975727991920552,,,,1.03700337574656,1.03528179137935,1.06311640911946
Burkina Faso,2.11865316579863,1.89174482856421,1.59654194792042,1.54917017470359,1.43596042486539,1.57493599252235,1.40806161670286,1.38460354988128,1.39243072523767,1.30945656904446,1.32482343147172,1.20686530442257,1.35751934660677,1.35177109778042,1.24271952672015,1.59226660027215,1.46983684754962,1.52145511081128,1.38257489312706,1.29920611755657,1.30339437569214,1.34682860190536,1.32145281867671
