id;day;month;year;timeofday;timeofdayrecode;incident_type;incident_action;latitude;longitude;territorial_water_status;closest_coastal_state;closest_state_cow_code;location_precision;geolocation_source;location_description;vessel_name;vessel_type;vessel_country;Vessel_country_cow_code;vessel_status;Violence Dummy;Steaming Recode;Incident_type_recode;Incident_action_recode
886;27;8;1998;;-99;Actual;Boarded;-22,8765000;-43,1913;Brazil;Brazil;140;2;IMB;Rio de Janeiro, Brazil;Hope;8;Cyprus;352;Berthed;1;3;1;2
887;6;9;1998;;-99;Attempted;;4,6866667;98,6200;Indonesia;Indonesia;850;1;IMB;Indonesia;Pacific Splendor;2;Bahamas;31;Steaming;0;1;0;-99
888;6;9;1998;;-99;Attempted;;14,5100000;120,7367;Philippines;Philippines;840;1;IMB;Balikpapan, Indonesia;Spyros;8;Greece;350;Anchored;0;2;0;-99
889;7;9;1998;;-99;Actual;Boarded;4,0431667;9,6667;Cameroon;Cameroon;471;2;IMB;Douala, Cameroon;Benguela Stream;10;Netherlands;210;Berthed;0;3;1;2
890;8;9;1998;;-99;Actual;Hijacked;22,0800000;118,8300;Taiwan;Taiwan;713;1;IMB;South China Sea;Louisa;3;Singapore;830;Steaming;1;1;1;1
891;9;9;1998;;-99;Actual;Boarded;-2,5200000;-80,0867;Ecuador;Ecuador;130;2;IMB;Guayaquil, Ecuador;Maersk Lima;4;Brazil;140;Anchored;0;2;1;2
892;9;9;1998;;-99;Actual;Boarded;6,6933333;-58,1875;Guyana;Guyana;110;2;IMB;Georgetown, Guyana;Trade Winds;8;Greece;350;Berthed;0;3;1;2
893;13;9;1998;;-99;Actual;Boarded;-5,5166667;105,3250;Indonesia;Indonesia;850;1;IMB;Indonesia;Mercury Star;2;Panama;95;Anchored;1;2;1;2
894;15;9;1998;;-99;Actual;Boarded;5,6258333;0,0070;Ghana;Ghana;452;;IMB;Tema, Ghana;Gili;10;St. Vincent & Grenadines;57;Anchored;1;2;1;2
895;15;9;1998;;-99;Actual;Boarded;17,9756667;-79,8243;Jamaica;Jamaica;51;2;IMB;Kingston, Jamaica;Nelvana;2;Vanuatu;935;Berthed;0;3;1;2
896;18;9;1998;;-99;Actual;Boarded;22,4855000;89,5858;Bangladesh;Bangladesh;771;2;IMB;Mongla, Bangladesh;OTS Uranus;6;Cyprus;352;Anchored;0;2;1;2
897;24;9;1998;;-99;Actual;Boarded;4,0431667;9,6667;Cameroon;Cameroon;471;2;IMB;Douala, Cameroon;Antwerp Bridge;-99;Unspecified;-99;Berthed;1;3;1;2
899;27;9;1998;;-99;Actual;Hijacked;11,3000000;49,1543;Somalia;Somalia;520;2;IMB;Bosaso Port, Somalia;Nourstar;6;Djibouti;522;Anchored;1;2;1;1
900;27;9;1998;;-99;Actual;Boarded;4,4018;119,0108;Malaysia;Malaysia;820;4;IMB;Bohayan Island, Sabah, Malaysia ;NA;5;Malaysia;820;Anchored;1;2;1;2
898;27;9;1998;;-99;Actual;Hijacked;3,3695000;99,4517;Indonesia;Indonesia;850;2;IMB;Kuala Tanjung, Indonesia;Tenyu;6;Panama;95;Steaming;1;1;1;1
901;29;9;1998;;-99;Actual;Boarded;-2,9000;107,4085;Indonesia;Indonesia;850;4;IMB;Island Mendenau, Indonesia ;Hanjin Busan;4;Korea;732;Unspecified;1;-99;1;2
902;5;10;1998;;-99;Attempted;;-8,9500000;130,7000;Indonesia;Indonesia;850;1;IMB;Indonesia;Prabhu Yuvika;2;India;750;Unspecified;0;-99;0;-99
904;6;10;1998;;-99;Actual;Boarded;23,0243333;70,2203;India;India;750;2;IMB;Kandia Roads, India;Princess Sanee;7;Egypt;651;Anchored;0;2;1;2
903;6;10;1998;;-99;Actual;Boarded;-6,0976667;106,9025;Indonesia;Indonesia;850;2;IMB;Tanjung Priok, Jakarta, Indonesia;Alam Gula;2;Malaysia;820;Berthed;1;3;1;2
906;11;10;1998;;-99;Actual;Boarded;3,9604;104,2861;Malaysia;Malaysia;820;3;IMB;95km off Tanjung Gelang, Malaysia ;Ong Thong;5;Thailand;800;Steaming;1;1;1;2
905;11;10;1998;;-99;Actual;Boarded;-9,4700000;147,1600;Papua New Guinea;Papua New Guinea;910;2;IMB;Ports Morresby, Papau New Guinea;Ma Foroe;9;Unspecified;-99;Anchored;1;2;1;2
907;13;10;1998;;-99;Actual;Boarded;-6,0976667;106,9025;Indonesia;Indonesia;850;2;IMB;Tanjung Priok, Indonesia;Asta Samudra;8;Panama;95;Anchored;1;2;1;2
908;13;10;1998;;-99;Actual;Boarded;-5,5816667;104,6100;Indonesia;Indonesia;850;2;IMB;Teluk Semangka, Indonesia;Karimun;8;Singapore;830;Anchored;0;2;1;2
909;15;10;1998;;-99;Actual;Boarded;-25,5050000;-48,5190;Brazil;Brazil;140;2;IMB;Paranagua, Brazil;Oceanic Explorer;2;Panama;95;Berthed;0;3;1;2
910;20;10;1998;;-99;Actual;Boarded;13,1066667;80,3050;India;India;750;2;IMB;Madras, India;Bunga Mas Empat;4;Malaysia;820;Anchored;0;2;1;2
911;23;10;1998;;-99;Actual;Boarded;-0,1000000;117,5265;Indonesia;Indonesia;850;2;IMB;Santan, Indonesia;Bright Express;3;Panama;95;Anchored;0;2;1;2
912;26;10;1998;;-99;Actual;Boarded;-3,0000000;107,3000;Indonesia;Indonesia;850;1;IMB;Indonesia;Chikuma;10;Panama;95;Unspecified;1;-99;1;2
913;27;10;1998;;-99;Actual;Boarded;-2,9200000;107,2400;Indonesia;Indonesia;850;1;IMB;Indonesia;Thor Marie;6;Denmark;390;Unspecified;1;-99;1;2
914;29;10;1998;;-99;Actual;Boarded;13,7418333;121,0073;Philippines;Philippines;840;2;IMB;Tabangao Batangas City, Philippines;British Resolution;8;Bermuda;-99;Anchored;0;2;1;2
915;30;10;1998;;-99;Actual;Boarded;20,4500000;115,2017;Taiwan;Taiwan;713;1;IMB;South China Sea;Singapura Timur;8;Panama;95;Steaming;1;1;1;2
916;5;11;1998;;-99;Attempted;Fired Upon;14,5211667;120,9428;Philippines;Philippines;840;2;IMB;Luzon, Philippines;Chang Ni;6;China;710;Steaming;1;1;0;3
917;5;11;1998;;-99;Attempted;;20,1166667;118,0500;Taiwan;Taiwan;713;1;IMB;South China Sea;Glory Selatan;6;Panama;95;Steaming;1;1;0;-99
918;7;11;1998;;-99;Actual;Boarded;41,8056667;19,5863;Albania;Albania;339;2;IMB;Shengjin Port, Albania;Ermina;6;Greece;350;Anchored;1;2;1;2
919;9;11;1998;;-99;Actual;Boarded;6,6933333;-58,1875;Guyana;Guyana;110;2;IMB;Georgetown, Guyana;Rugig;2;Malta;338;Anchored;1;2;1;2
920;10;11;1998;;-99;Attempted;Fired Upon;4,7333333;98,1833;Indonesia;Indonesia;850;1;IMB;Indonesia;Louisa;3;Singapore;830;Steaming;1;1;0;3
921;11;11;1998;;-99;Attempted;Fired Upon;-1,6000000;143,0000;Papua New Guinea;Papua New Guinea;910;1;IMB;Papau New Guinea;Cape America;2;Taiwan;710;Unspecified;1;-99;0;3
922;16;11;1998;;-99;Actual;Hijacked;22,3333333;118,8167;Taiwan;Taiwan;713;1;IMB;South China Sea;Cheung Son;2;Panama;95;Steaming;1;1;1;1
924;25;11;1998;;-99;Actual;Hijacked;6,2561;99,7631;Malaysia;Malaysia;820;4;IMB;Tepu Island, Langkawi Island, Malaysia ;Fishing Boat;5;Malaysia;820;Anchored;1;2;1;1
923;25;11;1998;;-99;Actual;Boarded;-0,1000000;117,5265;Indonesia;Indonesia;850;2;IMB;Santan, Indonesia;Lady Erika;7;Panama;95;Anchored;0;2;1;2
925;26;11;1998;;-99;Actual;Boarded;0,5366667;117,5413;Indonesia;Indonesia;850;2;IMB;Tanjung Bara, Kalimantan, Indonesia;Star Polaris;2;Greece;350;Anchored;0;2;1;2
926;27;11;1998;;-99;Actual;Boarded;-6,8265000;39,2765;Tanzania;Tanzania;510;2;IMB;Dar Es Salaam, Tanzania;Kyushu Spirit;8;Bahamas;31;Anchored;0;2;1;2
929;29;11;1998;;-99;Actual;Boarded;4,0431667;9,6667;Cameroon;Cameroon;471;2;IMB;Douala, Cameroon;Maersk Launcher;10;Denmark;390;Berthed;1;3;1;2
927;29;11;1998;;-99;Actual;Boarded;-8,2000000;123,7833;Indonesia;Indonesia;850;1;IMB;Indonesia;Lambert Maru;2;Japan;740;Steaming;0;1;1;2
928;29;11;1998;;-99;Actual;Boarded;-5,7033333;105,4067;Indonesia;Indonesia;850;1;IMB;Indonesia;Pernas Amang;2;Malaysia;820;Steaming;1;1;1;2
930;2;12;1998;;-99;Actual;Boarded;-0,1000000;117,5265;Indonesia;Indonesia;850;2;IMB;Santan, Indonesia;Brilliance;2;Singapore;830;Anchored;0;2;1;2
931;2;12;1998;;-99;Actual;Boarded;0,5366667;117,5413;Indonesia;Indonesia;850;2;IMB;Tanjung Bara, Indonesia;Tien Shan;2;Taiwan;710;Anchored;0;2;1;2
932;6;12;1998;;-99;Actual;Boarded;1,3166667;116,0855;Indonesia;Indonesia;850;1;IMB;Malaysia (Given coordinates specify a forested area on Kalimantan, Indonesia);Pernas Butane;7;Malaysia;820;Anchored;0;2;1;2
933;10;12;1998;;-99;Actual;Boarded;0,5333333;117,7500;Indonesia;Indonesia;850;1;IMB;Indonesia;Atlas;2;St. Vincent & Grenadines;57;Anchored;0;2;1;2
934;11;12;1998;;-99;Actual;Boarded;0,1666667;117,6000;Indonesia;Indonesia;850;1;IMB;Bontang, Indonesia;Mundogas;7;Liberia;450;Anchored;1;2;1;2
935;13;12;1998;;-99;Actual;Boarded;-5,4791667;105,2890;Indonesia;Indonesia;850;1;IMB;Indonesia;Bonvoy 8;8;Panama;95;Anchored;0;2;1;2
936;19;12;1998;;-99;Actual;Boarded;0,5366667;117,5413;Indonesia;Indonesia;850;2;IMB;Tanjung Bara, Indonesia;Docerio;2;Brazil;140;Anchored;0;2;1;2
937;21;12;1998;;-99;Actual;Boarded;-6,0338333;106,8867;Indonesia;Indonesia;850;2;IMB;Jakarta, Indonesia;Leona;2;Korea;732;Anchored;1;2;1;2
