id;day;month;year;timeofday;timeofdayrecode;incident_type;incident_action;latitude;longitude;territorial_water_status;closest_coastal_state;closest_state_cow_code;location_precision;geolocation_source;location_description;vessel_name;vessel_type;vessel_country;Vessel_country_cow_code;vessel_status;Violence Dummy;Steaming Recode;Incident_type_recode;Incident_action_recode
1;2;1;1993;22:25;3;;;19,7;116,9667;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Mv Cosmic Leader;10;Philippines;840;Unspecified;;-99;-99;-99
2;4;1;1993;1:45;4;;;22,35;116,0000;China;China;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Tricolor Star III;6;Panama;95;Unspecified;;-99;-99;-99
3;6;1;1993;;-99;;;19,67;115,2500;Taiwan;Taiwan;713;5;IMB;Hong Kong - Luzon - Hainan;Mv Arktis Star;6;Denmark;390;Unspecified;;-99;-99;-99
4;6;1;1993;;-99;;;36,6715;0,0000;Algeria;Algeria;615;5;IMB;Yellow Sea;Peiozyornyy;10;Russia;365;Unspecified;;-99;-99;-99
5;8;1;1993;5:00;4;;;29,9;124,5833;China;China;710;1;IMB;East China Sea;Ussurijsk;8;Russia;365;Unspecified;;-99;-99;-99
6;12;1;1993;6:00;4;;;18,1333333;120,2667;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Chennai Nermai;2;India;750;Unspecified;;-99;-99;-99
7;13;1;1993;4:30;4;;;9,7173;101,8500;Cambodia;Cambodia;811;4;IMB;Gulf of Thailand. South China Sea;Emelyan Yaroslavskiy;-99;Russia;365;Unspecified;;-99;-99;-99
8;25;1;1993;;-99;;;8,5666667;106,8667;Vietnam;Vietnam;816;1;IMB;South China Sea;Mv Indira Ghandhi;10;Russia;365;Unspecified;;-99;-99;-99
9;26;1;1993;16:45;2;;;29;123,5000;China;China;710;1;IMB;East China Sea;Mt Petrobulk Panther;8;Belgium;211;Unspecified;;-99;-99;-99
11;26;1;1993;0:35;4;;;-8,8;13,2500;Angola;Angola;540;2;IMB;Luanda, Angola;Mv Bodrog;6;Hungary;310;Anchored;;2;-99;-99
10;26;1;1993;20:30;3;;;4,4333333;119,4000;Philippines;Philippines;840;1;IMB;South China Sea;Mv Southern King;6;Panama;95;Unspecified;;-99;-99;-99
12;27;1;1993;0:35;4;;;-8,8;13,2500;Angola;Angola;540;4;IMB;Port of Luanda, Angola;;-99;;;Unspecified;;-99;-99;-99
13;4;2;1993;14:00;2;;;25,75;123,1667;China;China;710;1;IMB;East China Sea;Sukhinichi;-99;Russia;365;Unspecified;;-99;-99;-99
14;5;2;1993;2:10;4;;;5,0016667;7,2267;Nigeria;Nigeria;475;2;IMB;Bonny Anchorage, Nigeria;Mv Norgas Navigator;7;Norway;385;Anchored;;2;-99;-99
15;6;2;1993;7:30;1;;;16,5833333;118,1667;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Hulpha Kluang;4;Malaysia;820;Unspecified;;-99;-99;-99
16;15;2;1993;22:00;3;;;38,6974;121,2995;China;China;710;3;IMB;7.4 miles SE of Waglan. South China Sea;Mv Marine Peace;6;Panama;95;Unspecified;;-99;-99;-99
17;16;2;1993;16:00;2;;;19,3166667;118,7167;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Lion;6;Denmark;390;Unspecified;;-99;-99;-99
19;16;2;1993;3:30;4;;;-6,775;39,3533;Tanzania;Tanzania;510;2;IMB;Dar-Es-Salam Anchor, Tanzania;Mv Socol 5;6;Panama;95;Unspecified;;-99;-99;-99
21;16;2;1993;4:03;4;;;17,3333333;111,0333;Paracel Islands;Paracel Islands;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Mary Nour;10;Panama;95;Unspecified;;-99;-99;-99
18;16;2;1993;20:20;3;;;15,7833333;111,2000;Paracel Islands;Paracel Islands;710;1;IMB;;Mt Samuel L. Cobb;8;USA;2;Unspecified;;-99;-99;-99
20;16;2;1993;3:30;4;;;-6,775;39,3533;Tanzania;Tanzania;510;4;IMB;Dar-Es-Salam Roads, Tanzania;;-99;;;Unspecified;;-99;-99;-99
22;18;2;1993;;-99;;;19,67;115,2500;Taiwan;Taiwan;713;4;IMB;Western Luzon. Hong Kong - Luzon - Hainan;Mv Aleksandr Tsyurupa;6;Russia;365;Unspecified;;-99;-99;-99
23;25;2;1993;19:45;3;;;8,5166667;104,4000;Vietnam;Vietnam;816;1;IMB;South China Sea;Mv Great Amity;2;Panama;95;Unspecified;;-99;-99;-99
24;25;2;1993;18:50;3;;;36,2;124,4333;South Korea;South Korea;732;1;IMB;East China Sea;Mv Komsomolets;6;Russia;365;Unspecified;;-99;-99;-99
25;28;2;1993;16:45;2;;;24,7847;67,1457;Pakistan;Pakistan;770;2;IMB;Base Creek, Anchor. Arabian Sea;Mv Alam Sempurna;2;Malaysia;820;Anchored;;2;-99;-99
26;1;3;1993;12:45;2;;;8,9333333;50,5833;Somalia;Somalia;520;1;IMB;Somalia;Somalian Glory;5;Malta;338;Unspecified;;-99;-99;-99
27;3;3;1993;15:15;2;;;25,4333333;120,4667;China;China;710;1;IMB;Taiwan Sea;Mv Tulsidas;4;India;750;Unspecified;;-99;-99;-99
28;5;3;1993;22:25;3;;;17,6;120,0667;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Zirje;2;Yugoslavia;345;Unspecified;;-99;-99;-99
29;6;3;1993;5:00;4;;;3,8;98,7167;Indonesia;Indonesia;850;1;IMB;Straits of Malacca-Indonesia;Mv Kavo Sidero;2;Greece;350;Unspecified;;-99;-99;-99
30;19;3;1993;20:00;3;;;37,2833333;122,7667;China;China;710;1;IMB;East China Sea;Mv Sibirskiy 2114;6;Russia;365;Unspecified;;-99;-99;-99
31;21;3;1993;;-99;;;19,67;115,2500;Taiwan;Taiwan;713;4;IMB;SW of Hong Kong. Hong Kong - Luzon - Hainan;M69204Y;5;Hong Kong;710;Unspecified;;-99;-99;-99
32;21;3;1993;14:00;2;;;15;109,5000;Vietnam;Vietnam;816;1;IMB;South China Sea;Mt Suci;8;Malaysia;820;Unspecified;;-99;-99;-99
34;23;3;1993;1:25;4;;;3,8166667;105,8500;Indonesia;Indonesia;850;1;IMB;South China Sea;Mv Kurama;4;Panama;95;Unspecified;;-99;-99;-99
33;23;3;1993;14:15;2;;;26,75;124,3333;China;China;710;1;IMB;East China Sea;Mv Vsip Pyatnitskiy;6;Russia;365;Unspecified;;-99;-99;-99
35;24;3;1993;4:10;4;;;-22,8933333;-43,1667;Brazil;Brazil;140;2;IMB;Anchorage, Rio de Janeiro, Brazil;Mv Santos Express;4;Bahamas;31;Anchored;;2;-99;-99
36;2;4;1993;10:20;1;;;38,7931;121,7766;China;China;710;3;IMB;30 miles East of Waglan. Hong Kong - Luzon - Hainan;Mv Bunga Terasek;4;Malaysia;820;Unspecified;;-99;-99;-99
37;4;4;1993;5:35;4;;;22,7333333;123,8000;Japan;Japan;740;1;IMB;Hong Kong - Luzon - Hainan;Mv Pernas Proton;2;Malaysia;820;Unspecified;;-99;-99;-99
38;4;4;1993;15:00;2;;;22,3333333;115,6667;China;China;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Birlad;2;Romania;360;Unspecified;;-99;-99;-99
39;8;4;1993;4:22;4;;;12,5166667;111,4167;Vietnam;Vietnam;816;1;IMB;South China Sea;Mv NL Trader;6;Hong Kong;710;Unspecified;;-99;-99;-99
40;13;4;1993;1:30;4;;;19,67;115,2500;Taiwan;Taiwan;713;4;IMB;Hong Kong Harbour. Hong Kong - Luzon - Hainan;MV Baltimar Neptune;6;Denmark;390;Unspecified;;-99;-99;-99
41;17;4;1993;20:00;3;;;17,6333333;115,6167;Paracel Islands;Paracel Islands;710;1;IMB;Hong Kong - Luzon - Hainan;MV Sun Kung No. 8;10;Hong Kong;710;Unspecified;;-99;-99;-99
43;22;4;1993;16:05;2;;;20,3;117,3500;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;MV OOCL Beacon;4;Cyprus;352;Unspecified;;-99;-99;-99
44;22;4;1993;23:00;3;;;3,7766667;98,6767;Indonesia;Indonesia;850;2;IMB;Belawan Port. Straits of Malacca-Indonesia;Mv Magic Lady;8;Liberia;450;Unspecified;;-99;-99;-99
42;22;4;1993;16:00;2;;;19,4;116,0833;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;MV Salud Ace;2;Philippines;840;Unspecified;;-99;-99;-99
46;23;4;1993;4:00;4;;;21,1666667;116,7833;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Bukhta;5;Russia;365;Unspecified;;-99;-99;-99
45;23;4;1993;2:40;4;;;20,8;117,5000;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Mv Old Sea Beacon;-99;Russia;365;Unspecified;;-99;-99;-99
48;29;4;1993;2:55;4;;;28,85;126,0333;Japan;Japan;740;1;IMB;East China Sea;MT President;8;Panama;95;Unspecified;;-99;-99;-99
47;29;4;1993;;-99;;;17,926;114,1833;Paracel Islands;Paracel Islands;710;3;IMB;300 miles South of Hong Kong. Hong Kong - Luzon - Hainan;Mv Zhongshan;6;Singapore;830;Unspecified;;-99;-99;-99
49;2;5;1993;23:35;3;;;35,2333333;124,9500;South Korea;South Korea;732;1;IMB;East China Sea;Mv Konstantin;2;Russia;365;Unspecified;;-99;-99;-99
50;3;5;1993;13:00;2;;;17,3;120,0500;Philippines;Philippines;840;1;IMB;South China Sea;;6;Denmark;390;Unspecified;;-99;-99;-99
52;4;5;1993;23:25;3;;;19,3123;115,9840;Taiwan;Taiwan;713;3;IMB;235 miles SE of Hong Kong. Hong Kong - Luzon - Hainan;Mv Tricolor Star III;6;Panama;95;Unspecified;;-99;-99;-99
51;4;5;1993;11:05;1;;;35,7833333;123,8500;South Korea;South Korea;732;1;IMB;East China Sea;Mv Komsomlskaya Smena;10;Russia;365;Unspecified;;-99;-99;-99
53;17;5;1993;4:00;4;;;6,45;3,3767;Nigeria;Nigeria;475;3;IMB;16 miles South of Lagos, Nigeria;Mt Petrobulk Panther;8;Belgium;211;Unspecified;;-99;-99;-99
54;19;5;1993;3:45;4;;;-5,95;106,0000;Indonesia;Indonesia;850;4;IMB;Alongside Prointal Jetty, Indonesia;Maersk Sussex;7;IOM;-99;Unspecified;;-99;-99;-99
55;24;5;1993;;-99;;;3,5;100,1667;Indonesia;Indonesia;850;1;IMB;Straits of Malacca-Indonesia;Mv Star Lily;2;Hong Kong;710;Unspecified;;-99;-99;-99
56;25;5;1993;;-99;;;-5,7833333;108,7167;Indonesia;Indonesia;850;1;IMB;Java Sea;Mt Timur Mercury;8;Bahamas;31;Unspecified;;-99;-99;-99
57;25;5;1993;;-99;;;6,9833333;108,4000;Indonesia;Indonesia;850;1;IMB;South China Sea;Mv Pina;2;Hong Kong;710;Unspecified;;-99;-99;-99
58;2;6;1993;;-99;;;37,4333333;122,1833;China;China;710;2;IMB;Port of Weihaiwei. East China Sea;Mv Sibirskiy-2114;6;Russia;365;Unspecified;;-99;-99;-99
59;3;6;1993;;-99;;;1,6766667;101,4500;Indonesia;Indonesia;850;2;IMB;Dumai Port. Straits of Malacca-Indonesia;Mt Timur Endurance;8;Bahamas;31;Unspecified;;-99;-99;-99
61;9;6;1993;3:00;4;;;2,25;101,9000;Malaysia;Malaysia;820;1;IMB;Straits of Malacca-Malaysia;Mt Royal Arrow;8;Liberia;450;Unspecified;;-99;-99;-99
60;9;6;1993;23:00;3;;;27,6166667;124,6667;China;China;710;1;IMB;East China Sea;Mv Soyuz 4;5;Russia;365;Unspecified;;-99;-99;-99
62;11;6;1993;7:00;1;;;22,75;124,1667;Japan;Japan;740;1;IMB;East China Sea;Mt Dooyang Amber;6;Korea;732;Unspecified;;-99;-99;-99
63;11;6;1993;19:00;3;;;37,7;123,5667;China;China;710;1;IMB;East China Sea;Mv Kap. Modest Ivanov;6;Russia;365;Unspecified;;-99;-99;-99
64;12;6;1993;0:25;4;;;6,95;79,8432;Sri Lanka;Sri Lanka;780;4;IMB;Colombo Outer Road, Sri Lanka;Mv Tiger Stream;4;Germany;255;Unspecified;;-99;-99;-99
65;13;6;1993;19:55;3;;;36,8166667;123,3167;China;China;710;1;IMB;East China Sea;Gorets;-99;Russia;365;Unspecified;;-99;-99;-99
66;15;6;1993;;-99;;;29,0791;122,9286;China;China;710;3;IMB;150NM SE of Shanghai. East China Sea;Mv Kovdor;6;Russia;365;Unspecified;;-99;-99;-99
67;16;6;1993;;-99;;;29,2179;125,1539;China;China;710;5;IMB;East China Sea;Mv Tokarevsk;6;Russia;365;Unspecified;;-99;-99;-99
68;17;6;1993;20:30;3;;;29,7833333;127,5000;China;China;710;1;IMB;East China Sea;Mv Elm;6;Panama;95;Unspecified;;-99;-99;-99
69;21;6;1993;0:30;4;;;6,2833333;3,3667;Nigeria;Nigeria;475;1;IMB;Nigeria;Mt Dan Frigg;8;Denmark;390;Unspecified;;-99;-99;-99
70;24;6;1993;5:38;4;;;20,4166667;111,2333;China;China;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Kapitan Betkher;2;Russia;365;Unspecified;;-99;-99;-99
71;25;6;1993;21:40;3;;;3,8766667;-77,0667;Colombia;Colombia;100;2;IMB;Inner Anchorage, Buenaventura, Colombia;Mv Crion;2;Malta;338;Unspecified;;-99;-99;-99
72;25;6;1993;3:30;4;;;35,0666667;128,6167;South Korea;South Korea;732;1;IMB;East China Sea;Gorets;-99;Russia;365;Unspecified;;-99;-99;-99
74;26;6;1993;13:50;2;;;20,9666667;110,5833;China;China;710;1;IMB;China;Mv Pavel Rybin;10;Russia;365;Unspecified;;-99;-99;-99
75;26;6;1993;1:00;4;;;5,25;106,5000;Indonesia;Indonesia;850;1;IMB;South China Sea;Mv Far Trader;6;St. Vincent and Grenadine;57;Unspecified;;-99;-99;-99
73;26;6;1993;;-99;;;20,7666667;116,2500;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Mv Kap. Leo. Borisenko;6;Ukraine;369;Unspecified;;-99;-99;-99
76;6;7;1993;21:00;3;;;20,0333333;115,7000;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Mv Khudozhnik;-99;Russia;365;Unspecified;;-99;-99;-99
78;7;7;1993;3:45;4;;;4,1833333;99,4333;Indonesia;Indonesia;850;1;IMB;Straits of Malacca-Indonesia;Mv Faarabi;6;Iran;630;Unspecified;;-99;-99;-99
77;7;7;1993;8:00;1;;;35,3166667;124,1333;South Korea;South Korea;732;1;IMB;East China Sea;Mv Valeriy Volkov;6;Russia;365;Unspecified;;-99;-99;-99
79;8;7;1993;17:00;2;;;35,3333333;124,1667;South Korea;South Korea;732;1;IMB;East China Sea;Mv Evgenity Zuluz;-99;Russia;365;Unspecified;;-99;-99;-99
80;14;7;1993;17:10;2;;;22,3;115,2167;China;China;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Ivan Skuridin;10;Russia;365;Unspecified;;-99;-99;-99
81;15;7;1993;8:00;1;;;22,4;115,1500;China;China;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Ko Mal San;6;North Korea;731;Unspecified;;-99;-99;-99
82;13;8;1993;21:43;3;;;22,1333333;115,1000;China;China;710;1;IMB;Hong Kong - Luzon - Hainan;Mv Hermes Hope;4;Liberia;450;Unspecified;;-99;-99;-99
83;20;8;1993;4:00;4;;;-7,1885;112,7467;Indonesia;Indonesia;850;4;IMB;Berlian barat, Surabaya, Indonesia;Mt Kitsa;8;Cyprus;352;Unspecified;;-99;-99;-99
84;28;8;1993;10:30;1;;;19,5783333;115,4533;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Mv A.J. 1;6;Cyprus;352;Unspecified;;-99;-99;-99
85;2;9;1993;0:01;4;;;3,7766667;98,6767;Indonesia;Indonesia;850;2;IMB;Berth 105, Belawan Port, Indonesia;Mv Gold Future;6;Panama;95;Unspecified;;-99;-99;-99
86;9;9;1993;9:30;1;;;-5,915;13,9650;Angola;Angola;540;1;IMB;Angola;Mv Tilly;6;Panama;95;Unspecified;;-99;-99;-99
87;11;9;1993;1:15;4;;;1;105,0000;Indonesia;Indonesia;850;1;IMB;Indonesia;Mv Kota Intan;4;Singapore;830;Unspecified;;-99;-99;-99
88;21;9;1993;5:30;4;;;17,7166667;120,1667;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Inger Riis;6;Denmark;390;Unspecified;;-99;-99;-99
89;27;9;1993;3:00;4;;;3,7766667;98,6767;Indonesia;Indonesia;850;2;IMB;Berth 108-109, Belawan Port, Indonesia;Mv Macknight;2;Malta;338;Unspecified;;-99;-99;-99
90;29;9;1993;23:30;3;;;-24,1483333;-46,3300;Brazil;Brazil;140;4;IMB;Outer Road, Santos, Brazil;Mv Sao Paulo;6;Vanuatu;935;Unspecified;;-99;-99;-99
91;8;10;1993;23:30;3;;;-24,1483333;-46,3300;Brazil;Brazil;140;4;IMB;Outer Road, Santos, Brazil;Mv Betelgeuse;4;Brazil;140;Unspecified;;-99;-99;-99
92;17;10;1993;17:00;2;;;18,28;120,2867;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mt BP Admiral;8;Bermuda;200;Unspecified;;-99;-99;-99
93;19;10;1993;19:30;3;;;-9,1666667;115,8667;Indonesia;Indonesia;850;1;IMB;Indonesia;Gullhaar;9;Norway;385;Unspecified;;-99;-99;-99
94;22;10;1993;23:45;3;;;8,2833333;106,6667;Vietnam;Vietnam;816;1;IMB;Kampuchea;Mv Nordsino;4;Cyprus;352;Unspecified;;-99;-99;-99
95;26;10;1993;13:30;2;;;6,8216667;-58,1700;Guyana;Guyana;110;2;IMB;Georgetown, Guyana;Mv Cottica;10;Hong Kong;710;Unspecified;;-99;-99;-99
96;28;10;1993;4:30;4;;;-4,7333333;98,5833;Indonesia;Indonesia;850;1;IMB;Indonesia;Mv Impala;4;Antigua and Barbuda;58;Unspecified;;-99;-99;-99
97;2;11;1993;16:05;2;;;22,0833;90,8333;Bangladesh;Bangladesh;771;2;IMB;Off Brul Reach, Gange River, India;LPG/C Polar Endurance;8;Bahamas;31;Unspecified;;-99;-99;-99
98;5;11;1993;10:50;1;;;19,8666667;118,3667;Taiwan;Taiwan;713;1;IMB;Hong Kong - Luzon - Hainan;Mv Kayax;2;Panama;95;Unspecified;;-99;-99;-99
99;12;11;1993;22:30;3;;;6,9499;79,6487;Sri Lanka;Sri Lanka;780;3;IMB;12NM off Colombo Port, Sri Lanka;Mv Lanka Asitha;4;Cyprus;352;Unspecified;;-99;-99;-99
100;4;12;1993;2:30;4;;;17,95;120,1833;Philippines;Philippines;840;1;IMB;Hong Kong - Luzon - Hainan;Mv Alam Teladan;6;Malaysia;820;Unspecified;;-99;-99;-99
101;6;12;1993;23:30;3;;;1,8333333;89,3333;Internationa Waters (Indian Ocean);Indonesia;850;1;IMB;Indian Ocean;Mv Usguaua;6;Argentina;160;Unspecified;;-99;-99;-99
102;9;12;1993;;-99;;;3,7766667;98,6767;Indonesia;Indonesia;850;2;IMB;Belawan Port, Indonesia;Mv Sea Laurel;4;Antigua and Barbuda;58;Unspecified;;-99;-99;-99
103;;;1993;;-99;;;22,23333333;113,5833;China;China;710;4;IMB;Zhuhai, China. Hong Kong - Luzon - Hainan;Mv Universal Admiral;6;Russia;365;Unspecified;;-99;-99;-99
104;2;1;1994;Unspecified;-99;Attempted;;22,0166667;116,1000;China;China;710;1;IMB;South China Sea;Francesia;8;Unspecified;-99;Unspecified;;-99;0;-99
105;5;1;1994;4:45;4;Actual;Hijacked;13,6333333;112,0333;Paracel Islands;Paracel Islands;710;1;IMB;South China Sea;Jui Ho;6;Taiwan;710;Unspecified;1;-99;1;1
107;9;1;1994;22:20;3;Attempted;;1,1833333;103,4000;Indonesia;Indonesia;850;1;IMB;STM-INDO;Joyama Maru;7;Japan;740;Unspecified;;-99;0;-99
108;9;1;1994;0:45;4;Actual;Boarded;1,3000000;103,4833;Malaysia;Malaysia;820;1;IMB;Indonesia;Gyoko Maru;8;Japan;740;Unspecified;;-99;1;2
106;9;1;1994;23:30;3;Actual;Boarded;1,1666667;103,4500;Indonesia;Indonesia;850;1;IMB;STM-INDO;Hellespont P;8;Liberia;450;Unspecified;;-99;1;2
109;10;1;1994;Unspecified;-99;Actual;Boarded;18,5666667;118,1167;Philippines;Philippines;840;1;IMB;HLH Area;Peder Most;6;Denmark;390;Unspecified;;-99;1;2
110;11;1;1994;1:00;4;Attempted;;22,2383333;91,8267;Bangladesh;Bangladesh;771;2;IMB;Chittagong B, Bangladesh;Moon Bird;6;Denmark;390;Unspecified;;-99;0;-99
111;12;1;1994;0:20;4;Actual;Boarded;1,2333333;104,0833;Indonesia;Indonesia;850;1;IMB;Singapore Straits;Bophuthatbwana;6;St. Vincent & Grenadines;57;Unspecified;;-99;1;2
113;16;1;1994;8:55;1;Actual;Boarded;28,5666667;123,9000;China;China;710;1;IMB;East China Sea;Lucie Schulte;4;St. Vincent & Grenadines;57;Unspecified;;-99;1;2
112;16;1;1994;6:00;4;Actual;Boarded;10,3000000;107,0833;Vietnam;Vietnam;816;1;IMB;Vietnam;Diyyinah;8;UAE;696;Unspecified;;-99;1;2
114;22;1;1994;1:20;4;Actual;Boarded;29,8166667;32,5500;Egypt;Egypt;651;2;IMB;No.8 Suez Canal, Egypt;Landka Asitha;4;Cyprus;352;Unspecified;;-99;1;2
116;25;1;1994;0:20;4;Actual;Boarded;1,2500000;103,3167;Indonesia;Indonesia;850;1;IMB;STM-INDO;Aries Has;7;Panama;95;Unspecified;;-99;1;2
115;25;1;1994;5:30;4;Actual;Boarded;17,6833333;119,9667;Philippines;Philippines;840;1;IMB;HLH Area;Hans Oldendorff;6;Singapore;830;Unspecified;;-99;1;2
117;26;1;1994;2:00;4;;;17,7366667;-76,7533;Jamaica;Jamaica;51;;IMB;Off Kingston, Jamaica, Carribean ;Victoria Faith;6;Hong Kong ;710;Unspecified;;-99;-99;-99
118;27;1;1994;Unspecified;-99;;;29,0791;122,9286;China;China;710;4;IMB;East China Sea ;Nanshin Maru;6;Panama;95;Unspecified;;-99;-99;-99
119;27;1;1994;22:00;3;Actual;Hijacked;20,0000000;121,4000;Philippines;Philippines;840;1;IMB;HLH Area;Alicia Star;6;Panama;95;Unspecified;1;-99;1;1
120;30;1;1994;4:50;4;Actual;Boarded;14,9000000;110,7667;Paracel Islands;Paracel Islands;710;1;IMB;HLH Area;Kota Mulia;6;Malaysia;820;Unspecified;;-99;1;2
121;10;2;1994;4:30;4;Actual;Hijacked;11,6666667;43,1667;Djibouti;Djibouti;522;1;IMB;Somalia;MV Castor;6;Malta;338;Unspecified;1;-99;1;1
122;16;2;1994;Unspecified;-99;;;13,6333333;112,0333;Paracel Islands;Paracel Islands;710;1;IMB;HLH Area;Vlaherna;2;Cyprus;352;Unspecified;;-99;-99;-99
123;16;2;1994;3:00;4;Actual;Boarded;15,0133333;121,5933;Philippines;Philippines;840;2;IMB;Manila Port, Philippines;Nord Light;4;Cyprus;352;Unspecified;;-99;1;2
124;21;2;1994;13:40;2;Attempted;;12,2833333;112,9000;Spratly Islands;Spratly Islands;816;1;IMB;South China Sea;Rita Del Mar;10;Norway;385;Unspecified;;-99;0;-99
125;27;2;1994;1:20;4;Actual;Boarded;22,9833333;121,6433;Taiwan;Taiwan;713;1;IMB;HLH Area;Keumgang Glory;4;South Korea;732;Unspecified;;-99;1;2
126;8;3;1994;2:30;4;Actual;Boarded;-1,3666667;116,9500;Indonesia;Indonesia;850;1;IMB;Indonesia;Timur Endurance;8;Bahamas;31;Unspecified;;-99;1;2
127;12;3;1994;1:15;4;Attempted;;8,4666667;106,3333;Vietnam;Vietnam;816;1;IMB;Kampuchea;Santa Esmeralda;8;Singapore;830;Unspecified;;-99;0;-99
128;14;3;1994;5:00;4;Actual;Boarded;14,6760000;-17,4247;Senegal;Senegal;433;2;IMB;Dakar Roads, Senegal;Peder Most;6;Denmark;390;Unspecified;;-99;1;2
129;15;3;1994;1:00;4;Actual;Boarded;6,9450000;79,7583;Sri Lanka;Sri Lanka;780;1;IMB;Sri Lanka;California Zeus;4;Hong Kong;710;Unspecified;;-99;1;2
130;20;3;1994;18:45;3;Actual;Hijacked;22,5550000;114,1945;China;China;710;2;IMB;TCS No.2 Buoy, Hong Kong (Coded as Hong Kong Port);Tequila;6;Honduras;91;Unspecified;1;-99;1;1
131;25;3;1994;23:10;3;Attempted;;22,6166667;116,1167;China;China;710;1;IMB;East China Sea;Khudozhnik N. Rer;4;Russia;365;Unspecified;;-99;0;-99
133;26;3;1994;13:45;2;Attempted;;25,9833333;121,6433;Taiwan;Taiwan;713;1;IMB;East China Sea;Nordsung;4;Cyprus;352;Unspecified;;-99;0;-99
132;26;3;1994;8:10;1;Actual;Boarded;22,1166667;114,2667;China;China;710;1;IMB;East China Sea;Shun Ping;4;Panama;95;Unspecified;;-99;1;2
134;19;4;1994;14:15;2;Actual;Boarded;13,3883333;110,4717;Vietnam;Vietnam;816;1;IMB;South China Sea;Kota Indah;4;Singapore;830;Unspecified;;-99;1;2
135;23;4;1994;5:10;4;Attempted;;19,6041667;121,2200;Philippines;Philippines;840;1;IMB;Philippines;Forum Wind;2;Cyprus;352;Unspecified;;-99;0;-99
136;25;4;1994;2:30;4;Actual;Boarded;-6,0976667;106,9025;Indonesia;Indonesia;850;2;IMB;Tanjung Priok Roads, Indonesia;Ikan Beliak;6;Singapore;830;Unspecified;;-99;1;2
137;3;5;1994;11:00;1;Actual;Hijacked;18,7500000;107,3000;China;China;710;1;IMB;Gulf of Tonkin;M63807A;5;Hong Kong;710;Unspecified;1;-99;1;1
138;8;5;1994;2:00;4;Actual;Boarded;3,7836667;98,7007;Indonesia;Indonesia;850;2;IMB;Belawan Roads, Indonesia;Bangkok Navee;6;Thailand;800;Unspecified;;-99;1;2
139;16;5;1994;2:00;4;Actual;Boarded;-24,6370000;-48,4877;Brazil;Brazil;140;2;IMB;Santos Roads, Brazil;Alaska;4;Cyprus;352;Unspecified;;-99;1;2
140;17;5;1994;0:05;4;Actual;Boarded;3,7836667;98,7007;Indonesia;Indonesia;850;2;IMB;Outer Anchorage, Dar Es Salaam, Tanzania;Finnwood;2;Bahamas;31;Unspecified;;-99;1;2
141;22;5;1994;1:40;4;Attempted;;17,6000000;119,9500;Philippines;Philippines;840;1;IMB;HLH Area;Timber Trader XII;6;Panama;95;Unspecified;;-99;0;-99
142;24;5;1994;3:30;4;Actual;Boarded;3,7836667;98,7007;Indonesia;Indonesia;850;2;IMB;Belawan, Indonesia;Nordstar;3;Panama;95;Unspecified;;-99;1;2
143;30;5;1994;2:35;4;Actual;Boarded;-24,6370000;-46,3050;Brazil;Brazil;140;2;IMB;Santos Roads, Brazil;Cap Polonio;4;Germany;260;Unspecified;;-99;1;2
145;30;5;1994;4:30;4;Actual;Boarded;3,7836667;98,7007;Indonesia;Indonesia;850;2;IMB;Belawan Roads, Indonesia;Ocean GR;2;Malta;338;Unspecified;;-99;1;2
144;30;5;1994;0:20;4;Actual;Boarded;0,0833333;117,5667;Indonesia;Indonesia;850;1;IMB;Indonesia;Pacific Gas;7;St. Vincent & Grenadines;57;Unspecified;;-99;1;2
146;4;6;1994;14:45;2;Attempted;;6,1333333;122,1667;Philippines;Philippines;840;1;IMB;Philippines;Wold Quince;2;Panama;95;Unspecified;;-99;0;-99
147;7;6;1994;4:30;4;;;1,6666667;104,6000;Malaysia;Malaysia;820;1;IMB;Malaysia;vviva;10;Norway;385;Unspecified;;-99;-99;-99
148;9;6;1994;2:30;4;Actual;Boarded;-24,6370000;-48,4877;Brazil;Brazil;140;2;IMB;Alemoa Terminal, Santos, Brazil;San Giovanni;8;Italy;325;Unspecified;;-99;1;2
