Malaysia,2014,1,14.2,24951.14705,24,22,0.916666667
Nigeria,1995,1,0.937,1997.434014,2,2,1
Nigeria,1996,1,0.937,2082.833298,2,2,1
Nigeria,1997,1,0.937,2124.145899,9,7,0.777777778
Nigeria,1998,1,0.937,2151.047978,1,1,1
Nigeria,1999,1,0.937,2140.016539,10,8,0.8
Nigeria,2000,1,0.937,2247.885015,9,7,0.777777778
Nigeria,2001,1,0.937,2340.745901,19,16,0.842105263
Nigeria,2002,1,0.937,2404.958873,14,12,0.857142857
Nigeria,2003,1,0.937,2638.800222,39,36,0.923076923
Nigeria,2004,1,0.937,3534.047121,27,22,0.814814815
Nigeria,2005,1,0.937,3676.707489,16,15,0.9375
Nigeria,2006,1,0.937,3994.77187,12,9,0.75
Nigeria,2007,1,0.937,4266.961602,40,34,0.85
Nigeria,2008,1,0.937,4502.205357,39,29,0.743589744
Nigeria,2009,1,0.937,4723.091427,28,22,0.785714286
Nigeria,2010,1,0.937,5019.186041,18,12,0.666666667
Nigeria,2011,1,0.937,5230.598854,11,8,0.727272727
Nigeria,2012,1,0.937,5404.837689,25,16,0.64
Nigeria,2013,1,0.937,5628.190574,29,14,0.482758621
Nigeria,2014,1,0.937,5911.231542,18,8,0.444444444
Philippines,1994,1,122,2764.778975,11,6,0.545454545
Philippines,1995,1,122,2886.994475,12,2,0.166666667
Philippines,1996,1,122,3041.78651,8,5,0.625
Philippines,1997,1,122,3182.757814,13,10,0.769230769
Philippines,1998,1,122,3129.60622,15,6,0.4
Philippines,1999,1,122,3205.483888,8,5,0.625
Philippines,2000,1,122,3350.70093,10,3,0.3
Philippines,2001,1,122,3452.161404,14,10,0.714285714
Philippines,2002,1,122,3557.433982,10,5,0.5
Philippines,2003,1,122,3731.717535,12,7,0.583333333
Philippines,2004,1,122,4012.576004,4,2,0.5
Philippines,2006,1,122,4546.350952,6,4,0.666666667
Philippines,2007,1,122,4899.392302,6,5,0.833333333
Philippines,2008,1,122,5126.222706,7,5,0.714285714
Philippines,2009,1,122,5147.801481,1,1,1
Philippines,2010,1,122,5524.154389,5,4,0.8
Philippines,2011,1,122,5754.112442,5,3,0.6
Philippines,2012,1,122,6157.016253,2,2,1
Philippines,2013,1,122,6590.796549,3,3,1
Philippines,2014,1,122,6982.445258,6,6,1
Vietnam,1994,1,11.1,1353.23575,4,3,0.75
Vietnam,1995,1,11.1,1488.645246,5,3,0.6
Vietnam,1997,1,11.1,1766.479248,4,2,0.5
Vietnam,1998,1,11.1,1859.814937,1,1,1
Vietnam,1999,1,11.1,1948.959221,2,2,1
Vietnam,2000,1,11.1,2100.243062,6,2,0.333333333
Vietnam,2001,1,11.1,2252.422641,9,8,0.888888889
Vietnam,2002,1,11.1,2403.517486,7,6,0.857142857
Vietnam,2003,1,11.1,2590.294311,15,14,0.933333333
Vietnam,2004,1,11.1,2828.047502,4,4,1
Vietnam,2005,1,11.1,3102.936683,13,11,0.846153846
Vietnam,2006,1,11.1,3383.695024,3,3,1
Vietnam,2007,1,11.1,3681.316095,5,5,1
Vietnam,2008,1,11.1,3924.10131,11,10,0.909090909
Vietnam,2009,1,11.1,4123.425779,9,9,1
Vietnam,2010,1,11.1,4395.510145,12,12,1
Vietnam,2011,1,11.1,4716.9762,8,8,1
Vietnam,2012,1,11.1,5000.509437,4,3,0.75
Vietnam,2013,1,11.1,5294.358914,9,9,1
Vietnam,2014,1,11.1,5628.950768,7,7,1
